Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,13.297776937484741,1,2,1,0,64,5
1,14.145148515701294,1,3,2,0,64,5
2,13.054378271102905,2,4,3,0,64,5
3,12.693838596343994,3,4,3,0,64,5
4,12.752433061599731,3,5,4,0,64,5
5,12.782884120941162,3,5,3,0,64,5
6,12.864797353744507,2,5,4,0,64,5
7,15.200048923492432,1,6,5,0,64,5
8,15.902517318725586,2,7,6,0,64,5
9,13.007821083068848,2,8,7,0,64,5
10,12.73737096786499,1,9,8,0,64,5
11,13.065300464630127,1,10,9,0,64,5
