Block Number,Block Hash,Validation,Chip ID,Problem ID,Strongest Block Hash,Chain Length
1,c5f4910e2d52d5d901a448790b366494806a5135b6fbd2e71ed294380d40c3a9,pass,Advantage_system4.1,f0916e95-e7a6-4f71-bfd2-8bccea4c229b,e2a12ec0f05dd9cfe997033ad85ac8028b2b30b88d6f99fd4bfa4b410ab2b734,1
2,220265f1f8c9eb4e1c708c1c9b5310cdbad4d6aaa94d3cb34c288a1a539b330a,miner,Advantage_system4.1,292ed323-a93c-4e6f-82e7-2dec52730936,c5f4910e2d52d5d901a448790b366494806a5135b6fbd2e71ed294380d40c3a9,2
3,817a181a6a4bd466d6d3eece643075b67b51f71bdee21453c581955c7a4e74e5,miner,Advantage_system4.1,daa34bc4-c2d6-4e94-8f07-1adab12d5bb9,220265f1f8c9eb4e1c708c1c9b5310cdbad4d6aaa94d3cb34c288a1a539b330a,3
4,5864355c2eb4a6649cbfcc26413624e23bef9c6c4be985c22b338bc79917a678,pass,Advantage_system4.1,f0865e90-dccf-46dd-b27d-9a04154be421,817a181a6a4bd466d6d3eece643075b67b51f71bdee21453c581955c7a4e74e5,4
5,05a59c67b4718d44a01ba41877493b0c00bb13ccc169b3675b17767ada96a07c,pass,Advantage_system4.1,39e66662-df75-4adf-854f-1fa54a986ac8,5864355c2eb4a6649cbfcc26413624e23bef9c6c4be985c22b338bc79917a678,5
6,b99568747824bd06d9c7a27091ccc60d620a9aee0472e85d9b88f35711a19a64,miner,Advantage_system4.1,05fb5d42-9a37-4bff-8061-ad33f1d01bff,05a59c67b4718d44a01ba41877493b0c00bb13ccc169b3675b17767ada96a07c,6
7,96953e29eb61aea22afd5362c29b23d8ce1c4f73821e9a2e32e39b40e2d61909,miner,Advantage_system4.1,5999f2d0-2673-48f8-91bf-7dea2e06fdf8,b99568747824bd06d9c7a27091ccc60d620a9aee0472e85d9b88f35711a19a64,7
8,c3fced619ff19d60326ddcd0064007e1ec93340c335be0bd44a9231eb859b2b2,pass,Advantage_system4.1,e18a659c-a1fc-4948-97ba-cd7f39668703,96953e29eb61aea22afd5362c29b23d8ce1c4f73821e9a2e32e39b40e2d61909,8
9,a13d864613877b022304538e9d8a50cf51914e8e48cb4dc8303981a4c3fe9e87,pass,Advantage_system4.1,e66db00a-bf54-4689-8b48-2d68ea578507,c3fced619ff19d60326ddcd0064007e1ec93340c335be0bd44a9231eb859b2b2,9
10,4c6092c3f97505320e4fe4d63296894200b58d1d46551ec76a244f2366fea289,pass,Advantage_system4.1,ba3e7640-9fed-4f0c-9967-a9b5ea473331,c3fced619ff19d60326ddcd0064007e1ec93340c335be0bd44a9231eb859b2b2,9
